t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
40;A;0.7;5;10;0.62;0.615;0.621;0.629
40;A;0.7;1;80;1.556;1.574;1.577;1.563
40;A;0.7;2;80;1.604;1.605;1.611;1.612
40;A;0.7;3;80;1.655;1.649;1.663;1.677
40;A;0.7;4;80;1.689;1.69;1.7;1.704
40;A;0.7;5;80;1.778;1.78;1.802;1.821
40;A;0.7;1;80;1.426;1.445;1.449;1.43
40;A;0.7;2;80;1.59;1.587;1.596;1.605
40;A;0.7;3;80;1.532;1.534;1.558;1.574
40;A;0.7;4;80;1.585;1.578;1.589;1.597
40;A;0.7;5;80;1.711;1.702;1.72;1.741
40;A;0.7;1;40;0.858;0.857;0.854;0.854
40;A;0.7;2;40;1.164;1.17;1.173;1.181
40;A;0.7;3;40;1.729;1.738;1.752;1.745
40;A;0.7;4;40;1.712;1.708;1.715;1.713
40;A;0.7;5;40;1.784;1.801;1.812;1.81
40;A;0.7;1;40;0.818;0.809;0.808;0.809
40;A;0.7;2;40;1.12;1.12;1.124;1.132
40;A;0.7;3;40;1.685;1.678;1.667;1.671
40;A;0.7;4;40;1.523;1.514;1.517;1.523
40;A;0.7;5;40;1.809;1.799;1.806;1.819
40;A;0.7;1;100;1.713;1.701;1.713;1.723
40;A;0.7;2;100;1.702;1.7;1.714;1.717
40;A;0.7;3;100;1.737;1.73;1.742;1.749
40;A;0.7;4;100;1.77;1.766;1.785;1.795
40;A;0.7;5;100;1.858;1.873;1.895;1.905
40;A;0.7;1;100;1.658;1.637;1.658;1.676
40;A;0.7;2;100;1.616;1.608;1.627;1.63
40;A;0.7;3;100;1.64;1.618;1.642;1.657
40;A;0.7;4;100;1.671;1.647;1.669;1.682
40;A;0.7;5;100;1.746;1.737;1.762;1.778
50;A;0.7;1;10;0.477;0.503;0.479;0.472
50;A;0.7;2;10;0.466;0.477;0.48;0.474
50;A;0.7;3;10;0.921;0.93;0.928;0.931
50;A;0.7;4;10;0.709;0.697;0.714;0.699
50;A;0.7;5;10;0.674;0.676;0.68;0.687
50;A;0.7;1;10;0.421;0.456;0.425;0.411
50;A;0.7;2;10;0.648;0.653;0.652;0.636
50;A;0.7;3;10;0.917;0.933;0.94;0.937
50;A;0.7;4;10;0.641;0.645;0.652;0.638
50;A;0.7;5;10;0.667;0.674;0.677;0.672
50;A;0.7;1;80;0.2;1.555;1.583;1.616
50;A;0.7;2;80;1.573;1.622;1.629;1.642
50;A;0.7;3;80;1.635;1.684;1.714;1.756
50;A;0.7;4;80;1.703;1.735;1.769;1.8
50;A;0.7;5;80;1.756;1.911;1.902;1.927
50;A;0.7;1;80;1.88;1.432;1.466;1.492
50;A;0.7;2;80;1.442;1.608;1.63;1.651
50;A;0.7;3;80;1.614;1.59;1.61;1.658
50;A;0.7;4;80;1.592;1.614;1.638;1.677
50;A;0.7;5;80;1.627;1.822;1.806;1.843
50;A;0.7;1;40;1.944;0.854;0.856;0.851
50;A;0.7;2;40;0.854;1.292;1.293;1.294
50;A;0.7;3;40;1.29;1.808;1.805;1.831
50;A;0.7;4;40;1.8;1.793;1.789;1.822
50;A;0.7;5;40;1.796;1.861;1.859;1.887
50;A;0.7;1;40;0.803;0.81;0.813;0.8
50;A;0.7;2;40;1.24;1.244;1.251;1.248
50;A;0.7;3;40;1.797;1.81;1.792;1.773
50;A;0.7;4;40;1.623;1.63;1.641;1.631
50;A;0.7;5;40;1.924;1.928;1.932;1.924
50;A;0.7;1;100;1.72;1.735;1.716;1.76
50;A;0.7;2;100;1.711;1.731;1.716;1.754
50;A;0.7;3;100;1.752;1.777;1.769;1.821
50;A;0.7;4;100;1.812;1.83;1.82;1.873
50;A;0.7;5;100;1.889;1.921;1.905;1.98
50;A;0.7;1;100;1.663;1.691;1.664;1.722
50;A;0.7;2;100;1.62;1.652;1.632;1.684
50;A;0.7;3;100;1.646;1.69;1.664;1.725
50;A;0.7;4;100;1.681;1.717;1.7;1.766
50;A;0.7;5;100;1.76;1.809;1.786;1.858
60;A;0.7;1;10;0.486;0.487;0.481;0.49
60;A;0.7;2;10;0.461;0.462;0.465;0.476
60;A;0.7;3;10;0.923;0.919;0.908;0.909
60;A;0.7;4;10;0.709;0.71;0.702;0.707
60;A;0.7;5;10;0.723;0.711;0.721;0.73
60;A;0.7;1;10;0.433;0.434;0.428;0.429
60;A;0.7;2;10;0.645;0.642;0.649;0.654
60;A;0.7;3;10;0.936;0.927;0.921;0.92
60;A;0.7;4;10;0.654;0.667;0.645;0.645
60;A;0.7;5;10;0.699;0.667;0.677;0.686
60;A;0.7;1;80;1.603;1.597;1.604;1.614
60;A;0.7;2;80;1.664;1.645;1.649;1.656
60;A;0.7;3;80;1.799;1.887;1.861;1.835
60;A;0.7;4;80;1.875;2.026;1.972;1.941
60;A;0.7;5;80;2.047;2.241;2.164;2.153
60;A;0.7;1;80;1.54;1.598;1.602;1.582
60;A;0.7;2;80;1.724;1.738;1.736;1.753
60;A;0.7;3;80;1.737;1.723;1.708;1.707
60;A;0.7;4;80;1.775;1.98;1.893;1.866
60;A;0.7;5;80;1.994;2.259;2.143;2.114
60;A;0.7;1;40;0.85;0.856;0.852;0.85
