Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
226;-0.506;-0.254;7.303;0.704;18.861;16.94;16.025;15.538;14.097;13.876;96.286;104.905;8.281;8.42;117.294;65.303;65.363;224.366;140.342;221.34;29.841;28.345;21.325;9.214;9.24;9.358
226.5;-0.515;-0.251;8.669;1.636;19.987;18.114;17.246;16.779;15.275;15.093;95.085;103.714;8.167;8.281;116.12;64.345;64.444;218.299;139.898;215.866;29.401;27.873;20.959;9.007;9.072;9.181
227;-0.184;-0.245;10.12;2.888;21.388;19.57;18.729;18.264;16.771;16.565;93.951;102.436;8.007;8.122;114.885;63.536;63.525;212.418;139.341;210.693;28.946;27.459;20.75;8.83;8.905;9.027
227.5;0.556;-0.245;11.499;4.413;22.918;21.117;20.324;19.825;18.378;18.132;92.798;101.292;7.846;8.026;113.79;62.711;62.633;207.064;139.059;205.594;28.495;27.088;20.514;8.597;8.707;8.848
228;1.469;-0.253;12.89;5.81;24.396;22.645;21.867;21.373;19.937;19.724;91.693;100.326;7.685;7.906;112.712;61.996;61.844;201.824;139.09;200.674;28.227;26.825;20.298;8.452;8.499;8.646
228.5;2.375;-0.251;14.114;6.863;25.687;23.951;23.192;22.689;21.284;21.071;90.859;99.301;7.527;7.697;111.804;61.365;61.206;197.42;139.102;196.227;27.972;26.54;20.016;8.303;8.324;8.485
229;3.511;-0.25;15.018;7.7;26.658;24.956;24.191;23.705;22.351;22.102;90.126;98.506;7.472;7.592;110.944;60.9;60.668;193.597;138.879;192.371;27.748;26.293;19.834;8.181;8.207;8.378
229.5;4.372;-0.247;15.448;8.246;27.185;25.513;24.75;24.273;22.942;22.695;89.539;97.728;7.346;7.474;110.212;60.395;60.097;189.922;138.815;188.605;27.569;26.105;19.831;8.092;8.106;8.299
230;4.86;-0.243;15.46;8.329;27.233;25.6;24.842;24.361;23.055;22.803;88.966;96.984;7.179;7.343;109.569;59.966;59.605;186.347;138.845;185.077;27.333;25.92;19.728;8.045;8.004;8.212
230.5;4.85;-0.239;15.007;7.87;26.865;25.256;24.515;24.052;22.756;22.503;88.413;96.152;7;7.209;108.713;59.433;59.09;182.711;139;181.486;27.11;25.656;19.636;7.953;7.904;8.116
231;4.374;-0.231;14.455;7.301;26.294;24.723;23.995;23.545;22.263;22.017;87.833;95.446;6.859;7.044;107.971;58.859;58.583;179.01;138.945;177.786;26.836;25.351;19.536;7.895;7.854;8.018
231.5;4.046;-0.222;13.881;6.765;25.726;24.19;23.472;23.037;21.771;21.532;87.042;94.599;6.724;6.915;107.076;58.18;57.965;175.059;138.838;173.791;26.604;25.116;19.426;7.764;7.76;7.899
232;3.905;-0.22;13.442;6.323;25.331;23.777;23.087;22.651;21.413;21.187;86.197;93.75;6.582;6.783;106.125;57.466;57.339;170.834;138.514;169.745;26.338;24.789;19.291;7.618;7.634;7.758
232.5;4.198;-0.224;13.141;6.122;24.971;23.551;22.88;22.447;21.24;21.028;85.278;92.828;6.457;6.658;105.226;56.752;56.725;166.706;138.227;165.678;26.081;24.502;19.044;7.482;7.488;7.617
233;4.558;-0.229;13.023;6.008;24.812;23.481;22.831;22.397;21.225;21.008;84.427;91.938;6.336;6.532;104.279;56.184;56.163;162.801;137.952;161.933;25.859;24.259;18.864;7.322;7.328;7.448
233.5;5.095;-0.23;13.053;6.034;24.833;23.564;22.927;22.498;21.356;21.147;83.628;91.119;6.241;6.4;103.337;55.611;55.593;159.233;137.715;158.435;25.563;24.003;18.613;7.162;7.197;7.308
234;5.978;-0.233;13.25;6.278;25.042;23.785;23.162;22.741;21.628;21.413;82.863;90.282;6.171;6.317;102.522;55.157;55.091;155.957;137.145;155.314;25.244;23.769;18.32;6.996;7.067;7.155
234.5;6.712;-0.234;13.494;6.66;25.059;24.073;23.453;23.075;21.949;21.739;82.155;89.438;6.055;6.195;101.824;54.732;54.644;152.977;136.738;152.466;24.965;23.456;18.066;6.803;6.915;7.009
235;7.41;-0.239;13.732;6.927;25.191;24.336;23.716;23.3;22.233;22.019;81.589;88.61;5.935;6.078;101.134;54.361;54.245;150.226;136.533;149.946;24.741;23.25;17.933;6.67;6.79;6.888
